"name","last_modified","size","year","month_day_start"
"VNP46A3.A2012001.h06v02.001.2021124111507.h5","2021-05-04 11:19",17883764,2012,"001"
"VNP46A3.A2012001.h06v03.001.2021124111502.h5","2021-05-04 11:19",23405743,2012,"001"
"VNP46A3.A2012001.h06v04.001.2021124111508.h5","2021-05-04 11:18",14824102,2012,"001"
"VNP46A3.A2012001.h06v05.001.2021124111528.h5","2021-05-04 11:19",10167840,2012,"001"
"VNP46A3.A2012001.h06v06.001.2021124111502.h5","2021-05-04 11:18",1883717,2012,"001"
"VNP46A3.A2012001.h06v07.001.2021124111534.h5","2021-05-04 11:18",615199,2012,"001"
"VNP46A3.A2012001.h06v08.001.2021124111524.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h06v09.001.2021124111528.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h06v10.001.2021124111533.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h06v11.001.2021124111510.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h06v12.001.2021124111523.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h06v13.001.2021124111509.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h06v14.001.2021124113404.h5","2021-05-04 11:38",607288,2012,"001"
"VNP46A3.A2012001.h06v15.001.2021124113354.h5","2021-05-04 11:37",607288,2012,"001"
"VNP46A3.A2012001.h07v01.001.2021124113356.h5","2021-05-04 11:37",6893436,2012,"001"
"VNP46A3.A2012001.h07v02.001.2021124111527.h5","2021-05-04 11:21",15733156,2012,"001"
"VNP46A3.A2012001.h07v03.001.2021124111529.h5","2021-05-04 11:21",21379883,2012,"001"
"VNP46A3.A2012001.h07v04.001.2021124111531.h5","2021-05-04 11:19",13382932,2012,"001"
"VNP46A3.A2012001.h07v05.001.2021124111507.h5","2021-05-04 11:19",10130037,2012,"001"
"VNP46A3.A2012001.h07v06.001.2021124111535.h5","2021-05-04 11:19",8125528,2012,"001"
"VNP46A3.A2012001.h07v07.001.2021124111532.h5","2021-05-04 11:19",1888002,2012,"001"
"VNP46A3.A2012001.h07v08.001.2021124111531.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h07v09.001.2021124111504.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h07v10.001.2021124111527.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h07v11.001.2021124111537.h5","2021-05-04 11:18",615386,2012,"001"
"VNP46A3.A2012001.h07v12.001.2021124111538.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h07v13.001.2021124111510.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h07v14.001.2021124111455.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h07v15.001.2021124111441.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h08v01.001.2021124111502.h5","2021-05-04 11:18",8655263,2012,"001"
"VNP46A3.A2012001.h08v02.001.2021124111500.h5","2021-05-04 11:19",13265548,2012,"001"
"VNP46A3.A2012001.h08v03.001.2021124111501.h5","2021-05-04 11:20",15719635,2012,"001"
"VNP46A3.A2012001.h08v04.001.2021124111513.h5","2021-05-04 11:19",23318588,2012,"001"
"VNP46A3.A2012001.h08v05.001.2021124111520.h5","2021-05-04 11:19",17351313,2012,"001"
"VNP46A3.A2012001.h08v06.001.2021124111517.h5","2021-05-04 11:19",6755488,2012,"001"
"VNP46A3.A2012001.h08v07.001.2021124111520.h5","2021-05-04 11:19",6969927,2012,"001"
"VNP46A3.A2012001.h08v08.001.2021124111532.h5","2021-05-04 11:18",623293,2012,"001"
"VNP46A3.A2012001.h08v09.001.2021124111527.h5","2021-05-04 11:19",720706,2012,"001"
"VNP46A3.A2012001.h08v10.001.2021124111507.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h08v11.001.2021124111530.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h08v12.001.2021124111513.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h08v13.001.2021124111531.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h08v14.001.2021124111449.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h08v15.001.2021124111457.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h09v01.001.2021124111458.h5","2021-05-04 11:18",11157469,2012,"001"
"VNP46A3.A2012001.h09v02.001.2021124111532.h5","2021-05-04 11:19",6829123,2012,"001"
"VNP46A3.A2012001.h09v03.001.2021124111525.h5","2021-05-04 11:19",7193357,2012,"001"
"VNP46A3.A2012001.h09v04.001.2021124111527.h5","2021-05-04 11:19",22281469,2012,"001"
"VNP46A3.A2012001.h09v05.001.2021124111512.h5","2021-05-04 11:19",24225394,2012,"001"
"VNP46A3.A2012001.h09v06.001.2021124111533.h5","2021-05-04 11:18",5564464,2012,"001"
"VNP46A3.A2012001.h09v07.001.2021124111503.h5","2021-05-04 11:18",5246941,2012,"001"
"VNP46A3.A2012001.h09v08.001.2021124111525.h5","2021-05-04 11:18",1673980,2012,"001"
"VNP46A3.A2012001.h09v09.001.2021124111527.h5","2021-05-04 11:18",1309082,2012,"001"
"VNP46A3.A2012001.h09v10.001.2021124111526.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h09v11.001.2021124111530.h5","2021-05-04 11:18",608176,2012,"001"
"VNP46A3.A2012001.h09v12.001.2021124111523.h5","2021-05-04 11:18",610752,2012,"001"
"VNP46A3.A2012001.h09v13.001.2021124111522.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h09v14.001.2021124111457.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h09v15.001.2021124111449.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h10v01.001.2021124111528.h5","2021-05-04 11:18",6649329,2012,"001"
"VNP46A3.A2012001.h10v02.001.2021124111510.h5","2021-05-04 11:18",9435805,2012,"001"
"VNP46A3.A2012001.h10v03.001.2021124111520.h5","2021-05-04 11:19",12868525,2012,"001"
"VNP46A3.A2012001.h10v04.001.2021124111521.h5","2021-05-04 11:19",25225910,2012,"001"
"VNP46A3.A2012001.h10v05.001.2021124111502.h5","2021-05-04 11:18",8766897,2012,"001"
"VNP46A3.A2012001.h10v06.001.2021124111503.h5","2021-05-04 11:18",2340492,2012,"001"
"VNP46A3.A2012001.h10v07.001.2021124111458.h5","2021-05-04 11:18",3295552,2012,"001"
"VNP46A3.A2012001.h10v08.001.2021124111513.h5","2021-05-04 11:18",9676400,2012,"001"
"VNP46A3.A2012001.h10v09.001.2021124111522.h5","2021-05-04 11:18",8271802,2012,"001"
"VNP46A3.A2012001.h10v10.001.2021124111508.h5","2021-05-04 11:18",5139273,2012,"001"
"VNP46A3.A2012001.h10v11.001.2021124113406.h5","2021-05-04 11:37",1304815,2012,"001"
"VNP46A3.A2012001.h10v12.001.2021124113402.h5","2021-05-04 11:37",3400080,2012,"001"
"VNP46A3.A2012001.h10v13.001.2021124113403.h5","2021-05-04 11:37",4538256,2012,"001"
"VNP46A3.A2012001.h10v14.001.2021124111458.h5","2021-05-04 11:19",2261491,2012,"001"
"VNP46A3.A2012001.h10v15.001.2021124111515.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h11v01.001.2021124111453.h5","2021-05-04 11:18",5071010,2012,"001"
"VNP46A3.A2012001.h11v02.001.2021124111531.h5","2021-05-04 11:19",7835717,2012,"001"
"VNP46A3.A2012001.h11v03.001.2021124111516.h5","2021-05-04 11:20",12181514,2012,"001"
"VNP46A3.A2012001.h11v04.001.2021124111530.h5","2021-05-04 11:19",8771236,2012,"001"
"VNP46A3.A2012001.h11v05.001.2021124111535.h5","2021-05-04 11:18",623203,2012,"001"
"VNP46A3.A2012001.h11v06.001.2021124111512.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h11v07.001.2021124111522.h5","2021-05-04 11:18",3787179,2012,"001"
"VNP46A3.A2012001.h11v08.001.2021124111458.h5","2021-05-04 11:18",10206821,2012,"001"
"VNP46A3.A2012001.h11v09.001.2021124111511.h5","2021-05-04 11:19",6086893,2012,"001"
"VNP46A3.A2012001.h11v10.001.2021124111532.h5","2021-05-04 11:19",7375658,2012,"001"
"VNP46A3.A2012001.h11v11.001.2021124111507.h5","2021-05-04 11:19",7506710,2012,"001"
"VNP46A3.A2012001.h11v12.001.2021124111509.h5","2021-05-04 11:19",8409037,2012,"001"
"VNP46A3.A2012001.h11v13.001.2021124111522.h5","2021-05-04 11:18",3376087,2012,"001"
"VNP46A3.A2012001.h11v14.001.2021124111518.h5","2021-05-04 11:18",1124926,2012,"001"
"VNP46A3.A2012001.h11v15.001.2021124111529.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h12v01.001.2021124111521.h5","2021-05-04 11:19",9641351,2012,"001"
"VNP46A3.A2012001.h12v02.001.2021124111456.h5","2021-05-04 11:18",4347659,2012,"001"
"VNP46A3.A2012001.h12v03.001.2021124111509.h5","2021-05-04 11:19",3016181,2012,"001"
"VNP46A3.A2012001.h12v04.001.2021124111534.h5","2021-05-04 11:19",3637194,2012,"001"
"VNP46A3.A2012001.h12v05.001.2021124111519.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h12v06.001.2021124111507.h5","2021-05-04 11:19",607288,2012,"001"
"VNP46A3.A2012001.h12v07.001.2021124111526.h5","2021-05-04 11:18",643141,2012,"001"
"VNP46A3.A2012001.h12v08.001.2021124111529.h5","2021-05-04 11:19",5578820,2012,"001"
"VNP46A3.A2012001.h12v09.001.2021124111506.h5","2021-05-04 11:18",6368987,2012,"001"
"VNP46A3.A2012001.h12v10.001.2021124111503.h5","2021-05-04 11:19",6889237,2012,"001"
"VNP46A3.A2012001.h12v11.001.2021124111456.h5","2021-05-04 11:19",10740291,2012,"001"
"VNP46A3.A2012001.h12v12.001.2021124111516.h5","2021-05-04 11:18",5319790,2012,"001"
"VNP46A3.A2012001.h12v13.001.2021124111522.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h12v14.001.2021124111450.h5","2021-05-04 11:17",773086,2012,"001"
"VNP46A3.A2012001.h12v15.001.2021124111442.h5","2021-05-04 11:17",607288,2012,"001"
"VNP46A3.A2012001.h13v01.001.2021124111500.h5","2021-05-04 11:18",10532028,2012,"001"
"VNP46A3.A2012001.h13v02.001.2021124111506.h5","2021-05-04 11:19",12533904,2012,"001"
"VNP46A3.A2012001.h13v03.001.2021124111509.h5","2021-05-04 11:18",700491,2012,"001"
"VNP46A3.A2012001.h13v04.001.2021124111527.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h13v05.001.2021124111514.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h13v06.001.2021124111505.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h13v07.001.2021124111507.h5","2021-05-04 11:18",607288,2012,"001"
"VNP46A3.A2012001.h13v08.001.2021124111505.h5","2021-05-04 11:18",656585,2012,"001"
"VNP46A3.A2012001.h13v09.001.2021124111506.h5","2021-05-04 11:18",6343192,2012,"001"
"VNP46A3.A2012001.h13v10.001.2021124111501.h5","2021-05-04 11:18",9867804,2012,"001"
"VNP46A3.A2012001.h13v11.001.2021124111529.h5","2021-05-04 11:18",8647232,2012,"001"
"VNP46A3.A2012001.h13v12.001.2021124111511.h5","2021-05-04 11:18",607288,2012,"001"
