"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day","month"
"VNP46A3.A2022152.h24v02.001.2022235112552.h5","2022-08-23 11:26",607368,1661254016,113996779,"a4b8d63127d19dadd6550f82547fc1d8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v02.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h24v03.001.2022235112550.h5","2022-08-23 11:30",609976,1661254256,3906874096,"e838b73fc05ad5d0d80a784ec5aef96d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v03.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h24v04.001.2022235112551.h5","2022-08-23 11:34",8405297,1661254496,1767883552,"f1e76402935acc861daa4b31630440ef","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v04.001.2022235112551.h5",2022,"152","06"
"VNP46A3.A2022152.h24v05.001.2022235112554.h5","2022-08-23 11:32",12512727,1661254346,3758757057,"f849a2053e83b860534c5e643f6acd9e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v05.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h24v06.001.2022235112552.h5","2022-08-23 11:32",6940766,1661254346,2107302716,"9429a59293940f99443934b16b8ca255","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v06.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h24v13.001.2022235112552.h5","2022-08-23 11:31",898487,1661254316,328012435,"8d000bc3598a6d3f1db6780362927d58","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v13.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h24v15.001.2022235112554.h5","2022-08-23 11:31",2704502,1661254286,920727235,"9519b02ec31b45a294cd9343fae4601b","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h24v15.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h25v01.001.2022235112551.h5","2022-08-23 11:27",607368,1661254046,1847833317,"c473381f3d2966db201ecacc8720cff1","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v01.001.2022235112551.h5",2022,"152","06"
"VNP46A3.A2022152.h25v02.001.2022235112556.h5","2022-08-23 11:27",607368,1661254046,3259451954,"cc11613a8c5aadf82aeff869e311d8f6","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v02.001.2022235112556.h5",2022,"152","06"
"VNP46A3.A2022152.h25v03.001.2022235112556.h5","2022-08-23 11:30",609976,1661254256,3514313620,"18b6422c16fed5810383b875c83320a0","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v03.001.2022235112556.h5",2022,"152","06"
"VNP46A3.A2022152.h25v04.001.2022235112556.h5","2022-08-23 11:31",10242372,1661254286,2195958463,"6eb6e7cca9545d65c07b6632e6ba714f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v04.001.2022235112556.h5",2022,"152","06"
"VNP46A3.A2022152.h25v05.001.2022235112553.h5","2022-08-23 11:33",25257710,1661254406,3248996367,"80dcdee02b07fb753730f6e33389072f","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v05.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h25v06.001.2022235112554.h5","2022-08-23 11:33",25163813,1661254406,3237250648,"b25c6c42beac4a23835c17b846691992","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v06.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h25v07.001.2022235112555.h5","2022-08-23 11:31",15978024,1661254316,2511394444,"1ce1b241c85de9034975d14c7efd7b0b","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v07.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h25v08.001.2022235112554.h5","2022-08-23 11:31",2374626,1661254316,1840209485,"cf83220af53a52d2ca295da5eceb9985","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v08.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h25v09.001.2022235112550.h5","2022-08-23 11:31",642087,1661254316,755867364,"4a0509a72ac2975ec1aacf3a0e616093","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v09.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h25v13.001.2022235112555.h5","2022-08-23 11:32",697866,1661254346,2714289519,"c52df3b607fbd7e6da7066dfe90f5aaf","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v13.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h25v14.001.2022235112552.h5","2022-08-23 11:31",630053,1661254286,733765961,"5eb5eb3d7d63aedb232ca888b454195e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v14.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h25v15.001.2022235112553.h5","2022-08-23 11:31",1112852,1661254286,254026532,"53c79ccc40bd2ff8f21f8a1f0041385b","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h25v15.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h26v01.001.2022235112550.h5","2022-08-23 11:26",607368,1661254016,2039940245,"4e8b546c6f8bafabd80fc5cf244e1900","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v01.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h26v02.001.2022235112548.h5","2022-08-23 11:27",607368,1661254046,1582821736,"b33a8889575b4bea1b7b1a1111685174","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v02.001.2022235112548.h5",2022,"152","06"
"VNP46A3.A2022152.h26v03.001.2022235112550.h5","2022-08-23 11:30",609976,1661254256,1801901902,"7775072a6a7c0c119dd5213e129ba233","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v03.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h26v04.001.2022235112553.h5","2022-08-23 11:31",10384421,1661254286,3743655426,"40717553eb926de5b26bb5814fd217fb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v04.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h26v05.001.2022235112553.h5","2022-08-23 11:32",14544950,1661254377,454113877,"6fd794e4fe2117c263f1fe4f80ec6020","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v05.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h26v06.001.2022235112557.h5","2022-08-23 11:33",23061469,1661254406,797518956,"f3fcace49e09c0105ed04892ae92f4aa","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v06.001.2022235112557.h5",2022,"152","06"
"VNP46A3.A2022152.h26v07.001.2022235112553.h5","2022-08-23 11:32",4096191,1661254346,1147498443,"6a3e1e9de454c9ebf9e8022daececcfb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v07.001.2022235112553.h5",2022,"152","06"
"VNP46A3.A2022152.h26v08.001.2022235112550.h5","2022-08-23 11:31",1847748,1661254286,1643242246,"48d4880c3807d079d79ec846c2b92377","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v08.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h26v15.001.2022235112555.h5","2022-08-23 11:34",2551378,1661254466,3304646395,"e7b89b764997d4380fa4df741c17feab","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h26v15.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h27v00.001.2022235112551.h5","2022-08-23 11:27",607368,1661254046,3968060557,"7d4bfd5e0185ecce85a294b631e9561c","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v00.001.2022235112551.h5",2022,"152","06"
"VNP46A3.A2022152.h27v03.001.2022235112554.h5","2022-08-23 11:30",609976,1661254256,1094588281,"a188dbbfa26d4509d3ae86041cf33d94","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v03.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h27v04.001.2022235112552.h5","2022-08-23 11:31",6694785,1661254286,1416233362,"6c27cb8c4a5138655ae3db49dd3bbcf4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v04.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h27v05.001.2022235112557.h5","2022-08-23 11:33",13329422,1661254406,1307556704,"59f5f2dfdfb7ba1e0a9b8d8c70351e5d","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v05.001.2022235112557.h5",2022,"152","06"
"VNP46A3.A2022152.h27v06.001.2022235112552.h5","2022-08-23 11:32",16056068,1661254377,491571220,"4c2b40557684500cc13e477a97d151dd","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v06.001.2022235112552.h5",2022,"152","06"
"VNP46A3.A2022152.h27v07.001.2022235112554.h5","2022-08-23 11:31",5300564,1661254286,642483029,"e8394cede22e2d6eccd8a96a9d256ba4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v07.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h27v08.001.2022235112558.h5","2022-08-23 11:31",2867789,1661254316,4017357717,"44263ae0323ad3c8b88b541bc139ecd4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v08.001.2022235112558.h5",2022,"152","06"
"VNP46A3.A2022152.h27v09.001.2022235112555.h5","2022-08-23 11:31",713837,1661254316,1931202861,"e00ee27a2598737dafa2cb9af6985ab7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v09.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h27v15.001.2022235112555.h5","2022-08-23 11:31",3296041,1661254286,89901444,"0eef3d150a068b70cce7d55ce4849f97","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h27v15.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h28v01.001.2022235112550.h5","2022-08-23 11:27",607368,1661254046,1559325024,"7ca7dd504d9cbf3de36958bf6c7287dc","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v01.001.2022235112550.h5",2022,"152","06"
"VNP46A3.A2022152.h28v03.001.2022235112556.h5","2022-08-23 11:31",609976,1661254286,2479592863,"b7eae4bae7703f30c73e728155d575a5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v03.001.2022235112556.h5",2022,"152","06"
"VNP46A3.A2022152.h28v04.001.2022235112555.h5","2022-08-23 11:31",5852843,1661254286,2256630793,"31ca24f90b831b79b3cf1b8331f808ce","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v04.001.2022235112555.h5",2022,"152","06"
"VNP46A3.A2022152.h28v05.001.2022235112554.h5","2022-08-23 11:32",16773648,1661254377,3615281552,"250fe22668b00a5e4b673fc3eeecd0c7","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v05.001.2022235112554.h5",2022,"152","06"
"VNP46A3.A2022152.h28v06.001.2022235112627.h5","2022-08-23 11:36",15925227,1661254586,563807441,"d1a1dd190672cdf906a24af2af2484da","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v06.001.2022235112627.h5",2022,"152","06"
"VNP46A3.A2022152.h28v07.001.2022235112624.h5","2022-08-23 11:33",12396982,1661254406,3127207985,"c337331b32ba839b1c050d384ecdff85","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v07.001.2022235112624.h5",2022,"152","06"
"VNP46A3.A2022152.h28v08.001.2022235112632.h5","2022-08-23 11:35",7155880,1661254556,2333745706,"473f3c42f4e8a00faef1457e907c285e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v08.001.2022235112632.h5",2022,"152","06"
"VNP46A3.A2022152.h28v09.001.2022235112628.h5","2022-08-23 11:31",6792066,1661254316,1972919684,"bb5499363e163023e1ff28f5ffbc5f33","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v09.001.2022235112628.h5",2022,"152","06"
"VNP46A3.A2022152.h28v15.001.2022235112624.h5","2022-08-23 11:32",3748727,1661254377,1447008120,"d1db6de2ab33e8e146b9aae279b20feb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h28v15.001.2022235112624.h5",2022,"152","06"
"VNP46A3.A2022152.h29v01.001.2022235112621.h5","2022-08-23 11:27",607368,1661254076,1356961672,"fbb200c2fadbbc52cba90729bf0b2746","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v01.001.2022235112621.h5",2022,"152","06"
"VNP46A3.A2022152.h29v02.001.2022235112619.h5","2022-08-23 11:27",607368,1661254046,371157467,"2dc59c549f9a1fffd8cb15d1ef9738fd","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v02.001.2022235112619.h5",2022,"152","06"
"VNP46A3.A2022152.h29v03.001.2022235112623.h5","2022-08-23 11:30",609976,1661254256,3606753538,"595a75418f1a6c40cf4cf8ca275925ac","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v03.001.2022235112623.h5",2022,"152","06"
"VNP46A3.A2022152.h29v04.001.2022235112624.h5","2022-08-23 11:31",8883053,1661254316,1601967658,"e0852a6256f8abd1129fb9bc8743b52e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v04.001.2022235112624.h5",2022,"152","06"
"VNP46A3.A2022152.h29v05.001.2022235112624.h5","2022-08-23 11:32",30319304,1661254377,75670568,"cbad497160ac5f455e8e25baac1dee1e","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v05.001.2022235112624.h5",2022,"152","06"
"VNP46A3.A2022152.h29v06.001.2022235112625.h5","2022-08-23 11:32",16464111,1661254377,3670453426,"1172e769eff2eaf628e1573ecd400996","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v06.001.2022235112625.h5",2022,"152","06"
"VNP46A3.A2022152.h29v07.001.2022235112625.h5","2022-08-23 11:31",1209192,1661254316,1890240199,"7afe820ffa329862d779b379c5d282ab","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A3/2022/152/VNP46A3.A2022152.h29v07.001.2022235112625.h5",2022,"152","06"
