"name","last_modified","size","mtime","cksum","md5sum","resourceType","downloadsLink","year","day"
"VNP46A4.A2012001.h01v12.001.2021124180750.h5","2021-05-04 23:48",633696,1620172082,1344218707,"91294e4e3f432f0291d9e91c6e64ee25","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v12.001.2021124180750.h5",2012,"001"
"VNP46A4.A2012001.h01v13.001.2021124180748.h5","2021-05-04 23:40",633696,1620171602,3033176264,"34680cb673bcc4a3d77e1fc2613d75c5","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v13.001.2021124180748.h5",2012,"001"
"VNP46A4.A2012001.h01v14.001.2021125045652.h5","2021-05-05 10:43",633744,1620211429,4012693481,"3007f39e392ac2b4edc97a34d7f5c8e4","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v14.001.2021125045652.h5",2012,"001"
"VNP46A4.A2012001.h01v15.001.2021124114215.h5","2021-05-04 18:50",633832,1620154233,2033473807,"1201859578580668d678b63da24e26eb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v15.001.2021124114215.h5",2012,"001"
"VNP46A4.A2012001.h01v16.001.2022263123517.h5","2022-09-20 16:45",1501124,1663692338,3546627428,"a5f9a7ef04b98ddb03c06eea1bcc5a4a","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v16.001.2022263123517.h5",2012,"001"
"VNP46A4.A2012001.h01v17.001.2022263123412.h5","2022-09-20 13:05",2632789,1663679101,2025696729,"79811fec4d798dab1dd3085b101ee1ac","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h01v17.001.2022263123412.h5",2012,"001"
"VNP46A4.A2012001.h02v00.001.2021124113712.h5","2021-05-04 12:11",617816,1620130300,367564961,"09452a21f58788952c04b938d5b647cb","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v00.001.2021124113712.h5",2012,"001"
"VNP46A4.A2012001.h02v01.001.2022263123424.h5","2022-09-20 16:49",3562257,1663692578,1537949428,"92bcddcd554179adc8b0cf7eca6b4203","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v01.001.2022263123424.h5",2012,"001"
"VNP46A4.A2012001.h02v02.001.2021124113926.h5","2021-05-04 20:10",36783231,1620159044,170003975,"f11b1aad824342293ce373265d409abf","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v02.001.2021124113926.h5",2012,"001"
"VNP46A4.A2012001.h02v03.001.2021124114331.h5","2021-05-04 20:50",8269486,1620161402,3992983588,"a80fb268c1de2883d11bcf6a3f55cdd8","File","https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A4/2012/001/VNP46A4.A2012001.h02v03.001.2021124114331.h5",2012,"001"
